question_id,answer_id,target_type,target_id,weight
major_interest,accounting,job,accountant_and_auditor,1
major_interest,accounting,job,financial_analyst,0.65
major_interest,accounting,job,financial_and_investment_analyst,0.45
major_interest,accounting,course,financial_accounting,1
major_interest,accounting,course,auditing,0.9
major_interest,finance,job,financial_analyst,1
major_interest,finance,job,financial_and_investment_analyst,0.9
major_interest,finance,job,financial_manager,0.7
major_interest,finance,job,personal_financial_advisor,0.55
major_interest,finance,course,financial_modeling,1
major_interest,finance,course,financial_accounting,0.7
major_interest,info_systems_data_analytics,job,business_intelligence_analyst,1
major_interest,info_systems_data_analytics,job,data_scientist,0.8
major_interest,info_systems_data_analytics,course,business_intelligence_foundations,1
major_interest,info_systems_data_analytics,course,data_visualization,0.8
major_interest,data_science,job,data_scientist,1
major_interest,data_science,job,business_intelligence_analyst,0.75
major_interest,data_science,course,statistics_for_decision_making,0.9
major_interest,data_science,course,python_for_data_work,1
major_interest,mathematics,job,actuary,0.95
major_interest,mathematics,job,statistician,0.9
major_interest,mathematics,job,mathematician,0.9
major_interest,mathematics,course,statistics_for_decision_making,0.85
major_interest,business_economics,job,economist,0.85
major_interest,business_economics,job,financial_analyst,0.65
major_interest,business_economics,job,market_research_analyst,0.55
major_interest,business_economics,course,financial_modeling,0.5
major_interest,marketing,job,market_research_analyst,0.9
major_interest,marketing,job,search_marketing_strategist,1
major_interest,marketing,job,advertising_and_promotions_manager,0.75
major_interest,marketing,course,market_research_methods,1
major_interest,marketing,course,data_visualization,0.45
major_interest,management_consulting,job,management_analyst,1
major_interest,management_consulting,job,project_management_specialist,0.75
major_interest,management_consulting,job,business_operations_specialist,0.65
major_interest,management_consulting,course,project_management_fundamentals,0.7
major_interest,supply_chain_management,job,industrial_production_manager,0.95
major_interest,supply_chain_management,job,business_operations_specialist,0.8
major_interest,supply_chain_management,job,operations_research_analyst,0.55
major_interest,supply_chain_management,course,operations_management,1
major_interest,supply_chain_management,course,project_management_fundamentals,0.5
major_interest,sustainability_management,job,environmental_economist,0.8
major_interest,sustainability_management,job,operations_research_analyst,0.4
major_interest,sustainability_management,course,operations_management,0.4
major_interest,economics,job,economist,1
major_interest,economics,job,environmental_economist,0.7
major_interest,economics,job,financial_analyst,0.6
major_interest,economics,course,statistics_for_decision_making,0.5
natural_work_type,tracking_costs_records,job,accountant_and_auditor,1
natural_work_type,tracking_costs_records,job,financial_analyst,0.55
natural_work_type,tracking_costs_records,course,auditing,1
natural_work_type,tracking_costs_records,course,financial_accounting,0.95
natural_work_type,managing_money_risk,job,financial_analyst,1
natural_work_type,managing_money_risk,job,financial_and_investment_analyst,0.9
natural_work_type,managing_money_risk,job,actuary,0.7
natural_work_type,managing_money_risk,job,personal_financial_advisor,0.7
natural_work_type,managing_money_risk,course,financial_modeling,1
natural_work_type,finding_patterns_in_data,job,business_intelligence_analyst,0.95
natural_work_type,finding_patterns_in_data,job,data_scientist,0.85
natural_work_type,finding_patterns_in_data,job,statistician,0.8
natural_work_type,finding_patterns_in_data,course,data_visualization,0.85
natural_work_type,finding_patterns_in_data,course,statistics_for_decision_making,0.85
natural_work_type,finding_patterns_in_data,course,python_for_data_work,0.6
natural_work_type,researching_and_testing_ideas,job,data_scientist,0.75
natural_work_type,researching_and_testing_ideas,job,operations_research_analyst,0.8
natural_work_type,researching_and_testing_ideas,job,biostatistician,0.7
natural_work_type,researching_and_testing_ideas,job,economist,0.55
natural_work_type,researching_and_testing_ideas,course,statistics_for_decision_making,0.8
natural_work_type,persuading_and_promoting,job,advertising_sales_agent,0.9
natural_work_type,persuading_and_promoting,job,public_relations_specialist,0.8
natural_work_type,persuading_and_promoting,job,marketing_manager,0.7
natural_work_type,persuading_and_promoting,course,market_research_methods,0.45
